text;label
Burocracia em liberação de documento faz famílias de PMs ficarem sem atendimento de saúde;Má Gestão
Diretor do Iabas denuncia ‘conspiração’ na Saúde do Rio de Janeiro;Má Gestão
Larvas e insetos são encontrados em refeições do Hospital de Base;Má Gestão
Brasil enfrenta escassez de testes para doenças como chikungunya e tuberculose;Má Gestão
Brasil pode ter ‘sobra’ de 300 milhões de doses contra a Covid-19 no fim do ano;Má Gestão
CNJ abre processo contra desembargador por suposto negócio na área da saúde;Má Gestão
Relatório do Cremesp aponta irregularidades no hospital de campanha do Anhembi;Má Gestão
Conselho de Medicina cassa registro de ex-secretário de Saúde do RJ;Má Gestão
“Tirar Fundo Constitucional é matar pacientes do DF” diz Jorge Vianna;Má Gestão
Deputado levará à CPI emails trocados com a Saúde sobre Covaxin;Má Gestão
Miranda vai levar à CPI e-mails que indicam insistência do governo na Covaxin;Má Gestão
À época cláusulas da Pfizer eram ‘assustadoras’ diz Pazuello à CPI;Má Gestão
Ex-secretário responsabiliza Saúde por demora na compra de vacinas da Pfizer;Má Gestão
Em delação ex-secretário de saúde do Rio detalha divisão da propina no governo;Má Gestão
Operadores pagavam escola de filhos e comida do palácio para Witzel diz delator;Má Gestão
Com reajuste de 18% veja como ficarão os salários de enfermeiros médicos e técnicos do DF;Má Gestão
Contingenciamento: GDF suspende edital de concurso da Saúde com 39 mil vagas;Má Gestão
COVID-19: de R$ 8 bi em emendas parlamentares governo só liberou R$ 119 milhões;Má Gestão
Com foco no social governo reserva R$ 150 bilhões para ações na pandemia;Má Gestão
Corte de R$ 16 bilhão na Saúde deve impactar compra de remédios por ministério;Má Gestão
Contratos suspeitos do Rio somam R$ 125 milhões diz CPI da Pandemia;Má Gestão
Após 194 infrações Hospital Militar de Mato Grosso é interditado;Má Gestão
Campanha de combate ao Aedes aegypti custará R$ 15 milhões;Má Gestão
Campanhas da Saúde com artistas custam R$ 630 mil aos cofres públicos;Má Gestão
MPDFT abre investigação contra médica suspeita de mutilar pacientes;Má Gestão
MPDFT cobra da Saúde medidas para conter aumento de casos de Covid;Má Gestão
MP-RJ abre procedimento para analisar pedido de intervenção em Duque de Caxias;Má Gestão
MP e Polícia Civil realizam operação em SP e RJ contra desvios na saúde;Má Gestão
À CNN Queiroga confirma ida à Câmara e diz que oferta de medicamentos está “equilibrada”;Má Gestão
Ministério da Saúde omitiu dados sobre a Covaxin para o TCU diz ministro;Má Gestão
À CNN ministro da CGU afirma que investiga caso Davati e vai apurar propina;Má Gestão
Câmara aprova projeto que deve destinar até R$ 2 bilhões a Santas Casas;Má Gestão
Justiça determina afastamento do prefeito de Cuiabá;Má Gestão
Bolsonaro veta distribuição gratuita de absorventes a mulheres de baixa renda;Má Gestão
CPI pretende ouvir funcionária apontada como responsável por autorizar Covaxin;Má Gestão
Com atual efetivo auditorias no Farmácia Popular demorariam 20 anos;Má Gestão
MP vai usar dados da CPI para abrir investigação criminal contra Prevent Senior;Má Gestão
CPI da Pandemia vai transformar ministro da Saúde em investigado;Má Gestão
Após ser alvo da PF secretário de Saúde do Amazonas pede exoneração;Má Gestão
CPI da Pandemia convocará ex-ministros da Saúde como testemunhas diz Randolfe;Má Gestão
STJ suspende análise que vai definir qual tribunal irá julgar Cláudio Castro;Má Gestão
Corte no Orçamento fica mais duro e deve afetar Saúde e Educação;Má Gestão
CLDF quer ampliar plano de saúde para beneficiar ex-distritais;Má Gestão
“Criaram um balcão de negócios no Ministério da Saúde” diz Randolfe;Má Gestão
‘Saúde sempre foi um lugar onde a corrupção andou’ diz Mourão;Má Gestão
Alvos de prisão por fraude na saúde do Rio são investigados pelo MP há 6 anos;Má Gestão
Vídeo: paciente cai de uma altura de 5m ao tentar fugir de hospital;Má Gestão
PF começou investigação sobre mudança no cartão de vacinação de Bolsonaro em Duque de Caxias;Má Gestão
Crise no plano de saúde: PMs deverão buscar atendimento particular;Má Gestão
Polícia investiga morte de jovem por superdosagem de remédio em GO;Má Gestão
Polícia cumpre 46 mandados contra fraudes na Secretaria de Saúde do DF;Má Gestão
Polícia investiga segundo caso de morte de bebê após injeção em Goiás;Má Gestão
Auditoria do TCDF reforça problema de demora em atendimento nas UBSs;Má Gestão
INSS: fila para perícia médica superou 1 milhão de pessoas em maio;Má Gestão
ANS soube de denúncias contra Prevent pela CPI e investiga operadora diz presidente;Má Gestão
Cerca de 652 % dos municípios não têm medicamentos básicos nas farmácias diz pesquisa;Má Gestão
Brasil pode perder mais de R$ 20 bilhões por ano com desvios na saúde;Má Gestão
Baixo estoque de Coronavac ameaça vacinação de crianças de 3 a 5 anos;Má Gestão
PF e Ministério Público vão investigar negociação do governo pela Covaxin;Má Gestão
Bebê morre após tomar dipirona injetável em unidade de saúde de Goiás;Má Gestão
CPI ouve servidora da Saúde apontada por autorizar compra das vacinas Covaxin;Má Gestão
CPI quer ouvir servidor que teria relatado irregularidade a Luís Ricardo Miranda;Má Gestão
CPI vai investigar demora em contrato do Butantan com Ministério da Saúde;Má Gestão
CPI: confira a íntegra do auto de prisão em flagrante de Roberto Dias;Má Gestão
CPI: Depoimento de técnico da Saúde levanta dúvidas sobre atuação da Precisa;Má Gestão
CPI: empresário da VTCLog nega favorecimento a ex-diretor do Ministério da Saúde;Má Gestão
CPI: motoboy da VTCLog diz que entregou faturas no Ministério da Saúde;Má Gestão
Crise Yanomami: Saúde fez mais de 5 mil atendimentos médicos em um mês;Má Gestão
CRM-DF repudia fim de hospitais de custódia e tratamentos psiquiátricos;Má Gestão
Cúpula da CPI ouve testemunhas sobre irregularidades na saúde do RJ;Má Gestão
Das 38 ambulâncias do Samu-DF 28 estão com defeito e na manutenção;Má Gestão
De falta de médicos à venda de remédios: gestão Bolsonaro ignorou denúncia sobre os Yanomamis;Má Gestão
Desabastecimento de remédios “se agrava” no Brasil dizem entidades médicas Conass e Conasems;Má Gestão
Desvio de verba para a Covid-19 pode chegar a R$ 300 milhões diz CGU;Má Gestão
DF pode paralisar transplantes de órgãos por falta de contrato;Má Gestão
Dino afirma que houve “negação de socorro sanitário” a indígenas;Má Gestão
Diretor de Logística da Saúde será exonerado após relatos de suposta propina;Má Gestão
Diretor do FIB Bank depõe na CPI da Pandemia sobre caso Covaxin;Má Gestão
Documento mostra alerta sobre falta de oxigênio em Manaus no dia 8 de janeiro;Má Gestão
DPU envia recomendações à Saúde para combater crise de medicamentos;Má Gestão
Educação e Saúde são áreas mais afetadas por novo corte no Orçamento;Má Gestão
Em ação civil MP afirma que gestão Pazuello foi ineficiente e desleal;Má Gestão
Em ato na Esplanada enfermeiros cobram pagamento do piso salarial;Má Gestão
Em meio à crise no serviço médico PMDF exonera chefe do Departamento de Saúde;Má Gestão
Em suaves prestações Governo do DF começa a quitar dívida de R$ 11 bilhão com 1.792 empresas;Má Gestão
Empresa confirma que Dominguetti intermediou negociação de vacinas com Saúde;Má Gestão
Empresa justifica atendimentos em hospital de campanha do DF com dados de 2011;Má Gestão
Empresa suíça admite propina e devolve R$ 10 mi à Prefeitura de SP;Má Gestão
Empresário e ex-deputado são presos por suspeita de fraudar saúde no Rio;Má Gestão
Empresário suspeito de fraudar saúde no RJ tem R$ 902 mi em contratos no estado;Má Gestão
Ex-aliado de Bolsonaro ex-governador Witzel tem reunião no Planalto;Má Gestão
Ex-líder do governo destinou R$ 1371 milhões do orçamento secreto;Má Gestão
Ex-secretário de Saúde do DF é orientado a manter silêncio total na CPI da Pandemia;Má Gestão
Ex-secretário de Saúde é condenado por irregularidade em locação de imóveis;Má Gestão
Ex-secretários serão ouvidos sobre fraude na alimentação hospitalar;Má Gestão
Falsa médica é presa em flagrante durante consulta em UBS da Bahia;Má Gestão
Falta de remédio para câncer deixa 389 pacientes desassistidos no DF;Má Gestão
Falta de vacinação e dengue explicam emergência em Santa Catarina diz secretário;Má Gestão
Fila da angústia: no DF 130 pacientes aguardam para fazer hemodiálise;Má Gestão
Fila de espera é a principal reclamação de pacientes do SUS em SP diz pesquisa;Má Gestão
Fim de programa federal deixa unidades de saúde do DF sem médicos;Má Gestão
Força-tarefa no DF investiga contratações de R$ 79 mi para hospital de campanha;Má Gestão
Fornecedores ameaçam denunciar hospitais e planos de saúde à CVM;Má Gestão
Fotos: emergência de hospital do DF ultrapassa lotação máxima nesta 4ª feira;Má Gestão
Fraude em cartão de vacina: Cremego diz que condutas médicas tramitam em sigilo;Má Gestão
Fraude em licitação: Justiça recebe denúncia contra ex-secretários de ministro;Má Gestão
Gabinete de Transição alega falta de transparência em dados da saúde pública;Má Gestão
Garimpeiros trocaram ouro por vacinas de Covid que eram destinadas a Yanomamis;Má Gestão
Governador de Santa Catarina é alvo de operação que investiga fraude na saúde;Má Gestão
Governo autoriza repasse de R$ 120 milhões para laboratórios de saúde pública;Má Gestão
Governo de SP fechará hospital de campanha do Ibirapuera em 30 de setembro;Má Gestão
Governo do Pará exonera secretário Peter Cassol após operação da PF;Má Gestão
Governo Lula exonera 11 chefes de postos de saúde indígena;Má Gestão
Governo quer desobrigar uso de verba do pré-sal para saúde e educação;Má Gestão
Governo quer diagnóstico dos estados sobre filas do SUS até junho;Má Gestão
Governo quer que 70% dos insumos do SUS sejam produzidos no país;Má Gestão
Gravação mostra a má qualidade da comida servida nos hospitais públicos. Veja vídeo;Má Gestão
Grávida perde o bebê após fazer peregrinação por cinco hospitais em GO;Má Gestão
Há ‘indícios gravíssimos’ de cometimento de crime na Saúde afirma senador;Má Gestão
Há pressuposto de crime de responsabilidade do governo federal diz Ayres Britto;Má Gestão
Homem escreve “sim” e “não” nos joelhos para evitar erro em cirurgia;Má Gestão
Homem morre sentado enquanto aguardava atendimento médico;Má Gestão
Hospitais de SP têm falta de profissionais de saúde para UTIs dizem médicos;Má Gestão
Hospital de Campanha do Gama começa a funcionar nesta sexta-feira;Má Gestão
Influencer denuncia morte do irmão de 3 anos por suposta negligência;Má Gestão
Intervenção estadual na Saúde gera embate em Cuiabá;Má Gestão
Investigação da CPI sobre hospitais federais do RJ perde espaço;Má Gestão
Investigação sobre desvios de vacina contra Covid-19 no Amazonas está parada;Má Gestão
Irmão de deputado é preso em operação contra fraude na Saúde em Goiás;Má Gestão
Justiça cobra explicações sobre suposto esquema de corrupção na Saúde;Má Gestão
Justiça determina recontratação de terceirizados demitidos de hospitais no RJ;Má Gestão
Justiça do DF anula prisão em flagrante de ex-diretor do Ministério da Saúde;Má Gestão
Justiça do PA bloqueia bens de empresários que venderam respiradores com defeito;Má Gestão
Justiça suspende pagamento de pecúnias a servidores federais da Saúde cedidos ao GDF;Má Gestão
Justiça suspende reajuste do plano de saúde do GDF para educadores;Má Gestão
Justiça veta reajuste do plano de saúde do GDF para enfermeiros;Má Gestão
Lula diz que fará reunião nesta semana para reduzir a fila do INSS;Má Gestão
Lula lança programa de R$ 600 milhões para reduzir filas no SUS;Má Gestão
Lula libera R$ 2 bilhões para entidades filantrópicas de saúde;Má Gestão
Lula sugere implementação de convênio entre SUS e médicos especialistas;Má Gestão
Mãe acusa hospital de negligência na morte de gêmeo em SP: “Deixaram morrer”;Má Gestão
Mãe e filho mortos em hospital suspeito de negligência são enterrados;Má Gestão
Mãe vai à Justiça e cobra oxigênio para filha: “Situação humilhante”;Má Gestão
Máfia das Próteses orientava pacientes a mentir para planos de saúde;Má Gestão
Máfia das próteses: médico-legista da Polícia Civil entre os presos;Má Gestão
Máfia dos concursos: PCDF prende servidores envolvidos em fraude;Má Gestão
Mauro Cid ex-ajudante de Bolsonaro chega à PF para depor sobre caso das vacinas;Má Gestão
Médico condenado por retirada ilegal de órgãos é preso em SP;Má Gestão
"Médico é flagrado atendendo com “indícios de embriaguez”; vídeo";Má Gestão
Médico é indiciado por cobrar R$ 400 para preencher apólice de seguro;Má Gestão
Médico investigado por fraude em registros de vacina seguirá trabalhando até fim das investigações diz hospital;Má Gestão
Médico que retirou ilegalmente órgão de criança em Minas é preso;Má Gestão
Médico terá que pagar R$ 100 mil após operar olho errado e cegar idoso;Má Gestão
Médicos são presos por vender atestados falsos para vacinação contra Covid-19;Má Gestão
Médicos são suspeitos de lucrarem R$ 1 mi com cobrança de procedimentos ofertados pelo SUS;Má Gestão
Menos de 10% do que o governo já gastou para combater coronavírus foi para saúde;Má Gestão
Ministério da Saúde ‘alinha’ discurso sobre cartão de vacina de Bolsonaro;Má Gestão
Ministério da Saúde contraria orientação da CGU e nega acesso a cartão de vacina de Bolsonaro;Má Gestão
Ministério da Saúde corrige em R$ 400 bi projeção para enfrentar coronavírus;Má Gestão
Ministério da Saúde desperdiçou quase 2 milhões de vacinas doadas pelos EUA com custo de R$ 1 milhão diz TCU;Má Gestão
Ministério da Saúde estuda punições à Precisa Medicamentos;Má Gestão
Ministério da Saúde identifica 86 remédios em falta na rede pública;Má Gestão
Ministério da Saúde planeja extinguir secretaria de enfrentamento à Covid-19;Má Gestão
Ministério da Saúde repassa R$ 113 milhões para hospitais de SC;Má Gestão
Ministros da Saúde e da CGU negam corrupção no caso da Covaxin;Má Gestão
Morte de bebê após dipirona injetável é investigada pela polícia em GO;Má Gestão
Motoboy da VTCLog diz à CPI que entregou pen drive ao Ministério da Saúde;Má Gestão
Motoboy da VTCLog diz à CPI que esteve na Saúde mas nega conhecer Roberto Dias;Má Gestão
Movimentos pedem que TSE destine R$ 229 mi da multa do PL a vacinas;Má Gestão
MP abre inquérito contra planos de saúde por rescisão durante tratamento;Má Gestão
MP arquiva denúncia criminal sobre máfia das licitações na Saúde do DF;Má Gestão
MP do Rio tenta retomar 11 investigações de fraudes na saúde;Má Gestão
MP pede abertura de investigação de médico do DF por mortes de bebês;Má Gestão
MP pede para TCU investigar omissão do governo na compra de vacinas da Pfizer;Má Gestão
MP vai obrigar divulgação de dados sobre financiamento a médicos;Má Gestão
MPDFT aponta contrato irregular no Iges e recomenda suspensão;Má Gestão
MPDFT cobra esclarecimentos sobre falta de testes para dengue no DF;Má Gestão
MPDFT cobra multa de R$ 173 mil de ex-secretário de Saúde do DF;Má Gestão
MPDFT cobra recuperação de 13 hospitais públicos deteriorados no DF;Má Gestão
MPDFT identifica irregularidades em posto médico e em banheiros químicos no Carnaval;Má Gestão
MPRJ denuncia médicas que fizeram transplante em paciente errado;Má Gestão
MPT cobra multa aplicada à Prefeitura do Rio e União por falta de amparo à Saúde;Má Gestão
MS: criança está sem enxergar e andar após procedimento em hospital;Má Gestão
Mulher de Mauro Cid chega à PF para depor sobre fraude em cartões de vacina;Má Gestão
Mulher morre após não conseguir atendimento em centros de saúde no DF;Má Gestão
Não é normal fazer saque de R$ 47 milhões por meio de motoboy diz Randolfe;Má Gestão
Não há estoque de vacinas infantis contra Covid diz ministério;Má Gestão
No DF deputados vistoriam UPA após denúncias de falta de médicos;Má Gestão
No DF pacientes com sonda ficam sem acesso à dieta especial;Má Gestão
Novo hospital de campanha do DF recebe os primeiros pacientes com Covid-19;Má Gestão
Novos advogados de Mauro Cid manifestam respeito ao STF e solicitam autos do processo a Moraes;Má Gestão
Novos hospitais de campanha do RJ não devem ser exclusivos para Covid-19;Má Gestão
Nunes negocia empréstimo de US$ 400 milhões para reformar 15 hospitais;Má Gestão
OMS: serviços de higiene precários afetam metade das unidades de saúde do mundo;Má Gestão
Opas: superlotação do sistema de saúde brasileiro é preocupante;Má Gestão
Operação contra Bolsonaro nasceu em central clandestina de “vacinação” no RJ;Má Gestão
Operação da PF investiga desvio de recursos na saúde pública de GO;Má Gestão
Operação da PF mira desvios de até R$ 50 milhões na Saúde do Rio de Janeiro;Má Gestão
Operação da PF mira fraude em compra de respiradores na Baixada Fluminense;Má Gestão
"Operação em 6 estados mira desvios na Saúde; governador do Pará é alvo";Má Gestão
Orçamento secreto no MA: Justiça bloqueia R$ 78 milhões de 20 cidades;Má Gestão
Orçamento secreto: 500 municípios estão na mira da CGU;Má Gestão
Orçamento: Saúde e Educação perderão mais com bloqueio de R$ 15 bi;Má Gestão
Organizações de HIV/Aids pedirão a Lula que reveja cortes na Saúde;Má Gestão
OS investigada recebeu R$ 23 milhões do governo Witzel diz executivo;Má Gestão
Paciente tem perna amputada por erro médico durante cirurgia em Alagoas;Má Gestão
Pacientes denunciam planos de saúde por rescisão durante tratamento;Má Gestão
Pacientes enfrentam dificuldade para fazer teste da dengue no DF;Má Gestão
Pacientes reclamam de atendimento em UBS inaugurada há 6 meses: “Caos”;Má Gestão
Para investigar compra da Covaxin CPI convoca ex-coordenador da Saúde;Má Gestão
Participação de artistas e influenciadores em campanhas do SUS custará R$ 630 mil;Má Gestão
Paulo Guedes quer desvincular gastos obrigatórios com saúde e educação;Má Gestão
Pazuello diz não ser o “único responsável” por crise da pandemia;Má Gestão
Pazuello negociou Coronavac por quase o triplo do preço indica material da CPI;Má Gestão
PF combate desvio de recursos públicos na saúde em 3 estados e DF;Má Gestão
PF cumpre 30 mandados contra desvio de R$ 7 milhões na saúde de Cabo Frio no RJ;Má Gestão
PF cumpre mandados de busca e apreensão contra organização que fraudava licitações no Maranhão;Má Gestão
PF deflagra operação contra desvio de mais de R$ 94 mi da Saúde no MA;Má Gestão
PF encontra indícios de falsidade ideológica em negociações da Covaxin;Má Gestão
PF faz backup de contratos do governo do Rio e ação gera apagão no sistema;Má Gestão
PF faz buscas contra desvios de medicamentos e testes para Covid-19 em Oiapoque;Má Gestão
"PF faz operação contra desvios na Saúde do Amazonas; Wilson Lima é um dos alvos";Má Gestão
PF investiga deputado federal por desvios públicos no Maranhão;Má Gestão
PF investiga desvios na Saúde e na Previdência;Má Gestão
PF investiga empresa acusada de desviar recursos da saúde em PE;Má Gestão
PF investiga irregularidades na venda de órteses e próteses para o SUS;Má Gestão
PF investiga pregoeiro por falsificar Diário Oficial diz hospital;Má Gestão
PF investiga supostos desvios de verbas federais no interior de SP;Má Gestão
PF prende 15 em operação contra desvios no RS;Má Gestão
PGR é acionada para investigar filho de Queiroga por improbidade;Má Gestão
PGR recebe dados de investigação que levou à prisão de Edmar Santos;Má Gestão
"PGR recebe denúncia de possível superfaturamento; TCU já investiga o caso";Má Gestão
PGR vai apurar suposto crime de responsabilidade de ministros da Defesa e Saúde;Má Gestão
PGR: Desembargadores do TRT-RJ desviaram verbas que deveriam pagar trabalhadores;Má Gestão
Polícia fala de “laranjas” em contratos milionários na Saúde em Goiás;Má Gestão
Polícia Federal cumpre mandados de prisão em investigação contra falsos médicos no RJ;Má Gestão
Polícia Federal vai investigar superfaturamento em propaganda do governo federal;Má Gestão
Polícia investiga morte de enfermeira após lipoaspiração em Goiânia;Má Gestão
Por falta de seguro 21 ambulâncias do Samu estão sem rodar no DF;Má Gestão
Por irregularidades em folgas MPDFT pede sistema de ponto no Iges;Má Gestão
Poupando o erário Prosus pacifica contrato para alimentação no Iges;Má Gestão
Prefeitos e secretários de Saúde alertam sobre falta de medicamentos;Má Gestão
Prefeitura de Recife é alvo de operação da PF contra desvios na Saúde;Má Gestão
Prefeitura de Rondonópolis paga R$ 4 milhões em respiradores falsos;Má Gestão
Prefeitura de São Paulo autoriza contratação emergencial de médicos;Má Gestão
Prefeitura do RJ tem R$ 100 milhões em equipamentos hospitalares sem uso;Má Gestão
Prefeitura é investigada por fraudes em licitações da saúde em cidade do RJ;Má Gestão
Prevent se uniu a “gabinete paralelo” e intimidou médicos diz advogada na CPI;Má Gestão
Prevent Senior alterava código de diagnóstico da Covid confirma diretor à CPI;Má Gestão
Prevent Senior: CPI ouve presidente da ANS ex-chefe de gabinete de Barros;Má Gestão
Processo de ex-secretários de Saúde de Agnelo vai à Justiça Federal;Má Gestão
Queiroga sobre compra de vacinas por empresários: “Fura-fila? É lei”;Má Gestão
Quem é quem nas denúncias sobre superfaturamento de vacinas;Má Gestão
Quem é Ricardo Barros líder do governo apontado no caso da vacina Covaxin;Má Gestão
Reclamações contra a Secretaria de Saúde do DF aumentam mais de 179% em 6 anos;Má Gestão
Regina Célia diz ter sido designada como fiscal da Covaxin em meio à compra;Má Gestão
Relatório da CGU aponta desperdício de dinheiro no Ministério da Saúde;Má Gestão
"Renan anuncia lista com 14 investigados pela CPI da Pandemia; veja nomes";Má Gestão
Representante da Davati e Miranda confirmam contato mas negam relação comercial;Má Gestão
Residente denuncia falta de médicos e problemas na pediatria do HUB;Má Gestão
"Residentes denunciam comida com larvas no HC em Goiânia; veja vídeo";Má Gestão
Respiradores comprados pela União atrasam e só 36% chegam aos estados;Má Gestão
Reverendo diz ter sido usado e receberia apenas doações caso venda ocorresse;Má Gestão
Risco de desabastecimento de insumos médicos preocupa segmento de saúde;Má Gestão
Risco de desabastecimento leva governo a comprar insulina sem registro;Má Gestão
RJ: Defensoria encontra falhas em hospital onde médico estuprou mulher;Má Gestão
RJ: Polícia faz operação contra desvios e fraudes na Saúde de Arraial do Cabo;Má Gestão
RJ: Polícia Federal faz operação contra superfaturamento de equipamentos médicos;Má Gestão
Roberto Dias deixa a delegacia em Brasília após pagar fiança de R$ 1.100;Má Gestão
Roberto Dias teve boletos pagos por empresa investigada pela CPI;Má Gestão
Saúde admite erro ao descontar de SP entrega de doses da vacina da Pfizer;Má Gestão
Saúde compra insulina de fabricante sem registro na Anvisa para garantir tratamento pelo SUS;Má Gestão
Saúde corre risco de sofrer desfalque de 14 mil temporários no DF;Má Gestão
Saúde diz que funcionários que desviaram vacina por ouro estão afastados;Má Gestão
Saúde diz que quase 39 milhões de vacinas contra a Covid-19 venceram desde 2021;Má Gestão
Saúde do DF fecha contrato de R$ 186 mi com Instituto de Cardiologia;Má Gestão
Saúde do DF tem déficit de 154 anestesistas na rede pública;Má Gestão
Saúde e Novacap fecham convênio para construção de hospital. Entenda;Má Gestão
Saúde mental: governo anuncia R$ 200 milhões para Rede de Atenção Psicossocial;Má Gestão
Saúde reintegra servidor que denunciou propinas no caso Covaxin;Má Gestão
Saúde suspeita de “vacinação inadequada” em caso de paralisia no Pará;Má Gestão
Saúde terá menor orçamento em 10 anos. Veja desafios do governo eleito;Má Gestão
Saúde vai repassar R$ 600 milhões para reduzir filas por cirurgias;Má Gestão
Saúde vê indícios de irregularidades no uso de verba repassada a 467 municípios;Má Gestão
Saúde: MPDFT expõe superlotação em pediatrias de hospitais públicos;Má Gestão
Secretaria apura possível equívoco de médica na morte de jovem obeso;Má Gestão
Secretaria de Saúde cogita terceirizar serviços de diagnóstico na rede pública do DF;Má Gestão
Secretaria de Saúde terá que explicar prejuízos de R$ 75 milhões aos cofres públicos;Má Gestão
Secretário de Saúde do Pará e presidente do Conass deixa cargos por investigação;Má Gestão
Secretário de Saúde do Pará volta a ser alvo de operação da PF;Má Gestão
Secretário de Saúde do RJ fala sobre investigações contra corrupção na pasta;Má Gestão
Secretário de Saúde do RJ terá de responder na Alerj por exonerações suspeitas;Má Gestão
Secretário de Saude exonera corregedor e 5 auditores da pasta no RJ;Má Gestão
